Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_1.qasm,225,122,103(45.78%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,8.703052043914795,29.77734375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_2.qasm,225,122,103(45.78%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,12.922115087509155,31.1875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_3.qasm,225,140,85(37.78%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),140(cx),85(37.78%),,11.90610671043396,31.27734375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_4.qasm,225,144,81(36.00%),,45,38,7(15.56%),,0(),0(),0(-),,225(cx),144(cx),81(36.00%),,12.062528610229492,29.83984375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_5.qasm,225,128,97(43.11%),,45,28,17(37.78%),,0(),0(),0(-),,225(cx),128(cx),97(43.11%),,10.984369277954102,29.12109375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_6.qasm,225,142,83(36.89%),,45,37,8(17.78%),,0(),0(),0(-),,225(cx),142(cx),83(36.89%),,11.984320163726807,29.84765625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_7.qasm,225,150,75(33.33%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),150(cx),75(33.33%),,15.094393014907837,31.375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_8.qasm,225,158,67(29.78%),,45,39,6(13.33%),,0(),0(),0(-),,225(cx),158(cx),67(29.78%),,12.79622507095337,29.8984375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_9.qasm,225,129,96(42.67%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),129(cx),96(42.67%),,13.140617370605469,31.4453125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_0.qasm,270,147,123(45.56%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),147(cx),123(45.56%),,16.34374165534973,29.51953125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_1.qasm,270,183,87(32.22%),,45,39,6(13.33%),,0(),0(),0(-),,270(cx),183(cx),87(32.22%),,18.92188024520874,31.37890625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_2.qasm,270,161,109(40.37%),,45,37,8(17.78%),,0(),0(),0(-),,270(cx),161(cx),109(40.37%),,14.265882968902588,31.40625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_3.qasm,270,175,95(35.19%),,45,37,8(17.78%),,0(),0(),0(-),,270(cx),175(cx),95(35.19%),,18.984082221984863,29.8125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_4.qasm,270,168,102(37.78%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),168(cx),102(37.78%),,14.656269550323486,29.05859375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_5.qasm,270,161,109(40.37%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),161(cx),109(40.37%),,14.437451362609863,31.4296875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_6.qasm,270,145,125(46.30%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),145(cx),125(46.30%),,13.281244039535522,29.3359375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_7.qasm,270,165,105(38.89%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),165(cx),105(38.89%),,14.50006365776062,31.2265625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_8.qasm,270,153,117(43.33%),,45,38,7(15.56%),,0(),0(),0(-),,270(cx),153(cx),117(43.33%),,13.64063024520874,31.33203125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_9.qasm,270,179,91(33.70%),,45,39,6(13.33%),,0(),0(),0(-),,270(cx),179(cx),91(33.70%),,12.12498950958252,31.44140625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_0.qasm,315,171,144(45.71%),,45,39,6(13.33%),,0(),0(),0(-),,315(cx),171(cx),144(45.71%),,15.859349727630615,32.02734375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_1.qasm,315,192,123(39.05%),,45,45,0(-),,0(),0(),0(-),,315(cx),192(cx),123(39.05%),,17.18751287460327,32.234375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_2.qasm,315,181,134(42.54%),,45,44,1(2.22%),,0(),0(),0(-),,315(cx),181(cx),134(42.54%),,20.078152656555176,31.85546875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_3.qasm,315,189,126(40.00%),,45,45,0(-),,0(),0(),0(-),,315(cx),189(cx),126(40.00%),,20.5783588886261,31.96484375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_4.qasm,315,182,133(42.22%),,45,38,7(15.56%),,0(),0(),0(-),,315(cx),182(cx),133(42.22%),,20.187249183654785,32.203125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_5.qasm,315,185,130(41.27%),,45,41,4(8.89%),,0(),0(),0(-),,315(cx),185(cx),130(41.27%),,17.218797206878662,32.96484375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_6.qasm,315,203,112(35.56%),,45,44,1(2.22%),,0(),0(),0(-),,315(cx),203(cx),112(35.56%),,17.953032732009888,32.91015625
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_7.qasm,315,179,136(43.17%),,45,37,8(17.78%),,0(),0(),0(-),,315(cx),179(cx),136(43.17%),,16.39063048362732,32.96875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_8.qasm,315,185,130(41.27%),,45,39,6(13.33%),,0(),0(),0(-),,315(cx),185(cx),130(41.27%),,16.95325016975403,32.71875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_9.qasm,315,180,135(42.86%),,45,39,6(13.33%),,0(),0(),0(-),,315(cx),180(cx),135(42.86%),,20.031073570251465,32.2421875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_0.qasm,360,220,140(38.89%),,45,45,0(-),,0(),0(),0(-),,360(cx),220(cx),140(38.89%),,24.81275987625122,33.23046875
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_1.qasm,360,195,165(45.83%),,45,40,5(11.11%),,0(),0(),0(-),,360(cx),195(cx),165(45.83%),,18.890453100204468,33.234375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_2.qasm,360,204,156(43.33%),,45,47,-2(-4.44%),,0(),0(),0(-),,360(cx),204(cx),156(43.33%),,19.23429846763611,31.01953125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_3.qasm,360,200,160(44.44%),,45,42,3(6.67%),,0(),0(),0(-),,360(cx),200(cx),160(44.44%),,22.87495517730713,33.61328125
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_4.qasm,360,211,149(41.39%),,45,45,0(-),,0(),0(),0(-),,360(cx),211(cx),149(41.39%),,23.484410285949707,33.984375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_5.qasm,360,207,153(42.50%),,45,45,0(-),,0(),0(),0(-),,360(cx),207(cx),153(42.50%),,19.343791723251343,33.6484375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_6.qasm,360,202,158(43.89%),,45,44,1(2.22%),,0(),0(),0(-),,360(cx),202(cx),158(43.89%),,19.140601873397827,33.234375
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_7.qasm,360,197,163(45.28%),,45,43,2(4.44%),,0(),0(),0(-),,360(cx),197(cx),163(45.28%),,18.968783378601074,33.1640625
