Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_1.qasm,225,122,103(45.78%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,8.776604413986206
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_2.qasm,225,124,101(44.89%),,45,33,12(26.67%),,0(),0(),0(-),,225(cx),124(cx),101(44.89%),,13.272637844085693
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_3.qasm,225,144,81(36.00%),,45,36,9(20.00%),,0(),0(),0(-),,225(cx),144(cx),81(36.00%),,12.153009176254272
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_4.qasm,225,144,81(36.00%),,45,38,7(15.56%),,0(),0(),0(-),,225(cx),144(cx),81(36.00%),,12.297758340835571
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_5.qasm,225,131,94(41.78%),,45,30,15(33.33%),,0(),0(),0(-),,225(cx),131(cx),94(41.78%),,11.322797536849976
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_6.qasm,225,141,84(37.33%),,45,37,8(17.78%),,0(),0(),0(-),,225(cx),141(cx),84(37.33%),,11.9885892868042
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_7.qasm,225,156,69(30.67%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),156(cx),69(30.67%),,10.007111310958862
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_8.qasm,225,156,69(30.67%),,45,37,8(17.78%),,0(),0(),0(-),,225(cx),156(cx),69(30.67%),,13.056529521942139
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.5D2_9.qasm,225,131,94(41.78%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),131(cx),94(41.78%),,13.665770053863525
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_0.qasm,270,158,112(41.48%),,45,39,6(13.33%),,0(),0(),0(-),,270(cx),158(cx),112(41.48%),,14.17613935470581
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_1.qasm,270,180,90(33.33%),,45,39,6(13.33%),,0(),0(),0(-),,270(cx),180(cx),90(33.33%),,19.048972845077515
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_2.qasm,270,161,109(40.37%),,45,38,7(15.56%),,0(),0(),0(-),,270(cx),161(cx),109(40.37%),,14.390547752380371
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_3.qasm,270,177,93(34.44%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),177(cx),93(34.44%),,19.017006158828735
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_4.qasm,270,170,100(37.04%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),170(cx),100(37.04%),,15.03837776184082
