Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_0.qasm,270,154,116(42.96%),,45,37,8(17.78%),,0(),0(),0(-),,270(cx),154(cx),116(42.96%),,10.144645929336548,51.1015625
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_1.qasm,270,183,87(32.22%),,45,39,6(13.33%),,0(),0(),0(-),,270(cx),183(cx),87(32.22%),,14.195346593856812,51.30859375
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_2.qasm,270,161,109(40.37%),,45,38,7(15.56%),,0(),0(),0(-),,270(cx),161(cx),109(40.37%),,10.378899574279785,51.15625
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_3.qasm,270,181,89(32.96%),,45,37,8(17.78%),,0(),0(),0(-),,270(cx),181(cx),89(32.96%),,14.041059017181396,50.73046875
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_4.qasm,270,171,99(36.67%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),171(cx),99(36.67%),,10.965564966201782,51.31640625
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_5.qasm,270,161,109(40.37%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),161(cx),109(40.37%),,10.56695008277893,51.08203125
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_6.qasm,270,142,128(47.41%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),142(cx),128(47.41%),,9.646199226379395,51.0703125
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_7.qasm,270,164,106(39.26%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),164(cx),106(39.26%),,10.447567224502563,51.0625
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_8.qasm,270,153,117(43.33%),,45,38,7(15.56%),,0(),0(),0(-),,270(cx),153(cx),117(43.33%),,9.93599557876587,51.1953125
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_9.qasm,270,182,88(32.59%),,45,41,4(8.89%),,0(),0(),0(-),,270(cx),182(cx),88(32.59%),,11.36033034324646,50.98828125
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_0.qasm,315,173,142(45.08%),,45,43,2(4.44%),,0(),0(),0(-),,315(cx),173(cx),142(45.08%),,11.912848234176636,52.76171875
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_1.qasm,315,192,123(39.05%),,45,45,0(-),,0(),0(),0(-),,315(cx),192(cx),123(39.05%),,12.90182089805603,52.52734375
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_2.qasm,315,184,131(41.59%),,45,44,1(2.22%),,0(),0(),0(-),,315(cx),184(cx),131(41.59%),,15.10173225402832,52.63671875
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_3.qasm,315,190,125(39.68%),,45,45,0(-),,0(),0(),0(-),,315(cx),190(cx),125(39.68%),,15.463582277297974,52.37109375
