Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_4.qasm,270,209,61(22.59%),,45,44,1(2.22%),,0(),0(),0(-),,270(cx),209(cx),61(22.59%),,80.97520971298218,17.62890625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_5.qasm,270,202,68(25.19%),,45,43,2(4.44%),,0(),0(),0(-),,270(cx),202(cx),68(25.19%),,76.2717638015747,17.18359375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_6.qasm,270,200,70(25.93%),,45,42,3(6.67%),,0(),0(),0(-),,270(cx),200(cx),70(25.93%),,78.05145263671875,17.7890625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_7.qasm,270,192,78(28.89%),,45,45,0(-),,0(),0(),0(-),,270(cx),192(cx),78(28.89%),,75.37888097763062,17.6796875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_8.qasm,270,194,76(28.15%),,45,42,3(6.67%),,0(),0(),0(-),,270(cx),194(cx),76(28.15%),,74.25839686393738,17.1875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_9.qasm,270,205,65(24.07%),,45,46,-1(-2.22%),,0(),0(),0(-),,270(cx),205(cx),65(24.07%),,82.7567491531372,17.55859375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_0.qasm,315,217,98(31.11%),,45,45,0(-),,0(),0(),0(-),,315(cx),217(cx),98(31.11%),,86.79118752479553,17.43359375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_1.qasm,315,231,84(26.67%),,45,43,2(4.44%),,0(),0(),0(-),,315(cx),231(cx),84(26.67%),,93.77929973602295,17.9296875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_2.qasm,315,229,86(27.30%),,45,46,-1(-2.22%),,0(),0(),0(-),,315(cx),229(cx),86(27.30%),,93.88951325416565,17.7265625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_3.qasm,315,233,82(26.03%),,45,47,-2(-4.44%),,0(),0(),0(-),,315(cx),233(cx),82(26.03%),,95.46175694465637,17.7109375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_4.qasm,315,224,91(28.89%),,45,43,2(4.44%),,0(),0(),0(-),,315(cx),224(cx),91(28.89%),,91.25930190086365,17.64453125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_5.qasm,315,223,92(29.21%),,45,44,1(2.22%),,0(),0(),0(-),,315(cx),223(cx),92(29.21%),,93.5876190662384,17.6328125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_6.qasm,315,234,81(25.71%),,45,46,-1(-2.22%),,0(),0(),0(-),,315(cx),234(cx),81(25.71%),,115.66617393493652,17.1640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_7.qasm,315,224,91(28.89%),,45,41,4(8.89%),,0(),0(),0(-),,315(cx),224(cx),91(28.89%),,91.97707200050354,17.81640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_8.qasm,315,238,77(24.44%),,45,45,0(-),,0(),0(),0(-),,315(cx),238(cx),77(24.44%),,96.49093723297119,17.5078125
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_9.qasm,315,226,89(28.25%),,45,43,2(4.44%),,0(),0(),0(-),,315(cx),226(cx),89(28.25%),,92.24553275108337,17.69921875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_0.qasm,360,273,87(24.17%),,45,49,-4(-8.89%),,0(),0(),0(-),,360(cx),273(cx),87(24.17%),,166.69171595573425,17.60546875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_1.qasm,360,248,112(31.11%),,45,49,-4(-8.89%),,0(),0(),0(-),,360(cx),248(cx),112(31.11%),,148.17345881462097,17.52734375
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_2.qasm,360,261,99(27.50%),,45,48,-3(-6.67%),,0(),0(),0(-),,360(cx),261(cx),99(27.50%),,153.54313731193542,17.9765625
