Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_9.qasm,180,103,77(42.78%),,45,30,15(33.33%),,0(),0(),0(-),,180(cx),103(cx),77(42.78%),,8.453064441680908,30.25
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_0.qasm,225,124,101(44.89%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),124(cx),101(44.89%),,13.125019550323486,28.8515625
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_1.qasm,225,125,100(44.44%),,45,36,9(20.00%),,0(),0(),0(-),,225(cx),125(cx),100(44.44%),,8.828990459442139,30.453125
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_2.qasm,225,122,103(45.78%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),122(cx),103(45.78%),,13.01476764678955,29.359375
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_3.qasm,225,138,87(38.67%),,45,33,12(26.67%),,0(),0(),0(-),,225(cx),138(cx),87(38.67%),,14.281292915344238,30.59765625
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_4.qasm,225,143,82(36.44%),,45,38,7(15.56%),,0(),0(),0(-),,225(cx),143(cx),82(36.44%),,12.062464237213135,29.46875
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_5.qasm,225,129,96(42.67%),,45,28,17(37.78%),,0(),0(),0(-),,225(cx),129(cx),96(42.67%),,11.140639781951904,31.17578125
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_6.qasm,225,141,84(37.33%),,45,37,8(17.78%),,0(),0(),0(-),,225(cx),141(cx),84(37.33%),,11.906260013580322,29.9453125
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_7.qasm,225,151,74(32.89%),,45,34,11(24.44%),,0(),0(),0(-),,225(cx),151(cx),74(32.89%),,15.218774318695068,29.53515625
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_8.qasm,225,159,66(29.33%),,45,37,8(17.78%),,0(),0(),0(-),,225(cx),159(cx),66(29.33%),,12.95304536819458,31.01171875
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_9.qasm,225,130,95(42.22%),,45,32,13(28.89%),,0(),0(),0(-),,225(cx),130(cx),95(42.22%),,13.515623331069946,30.97265625
